1;1;img/z5/1to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке В2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=С1/А1+1;=А1-1,=С1+В1,=С1+1;    Из диаграммы видно, что значения в ячейках попарно равны. Заметим, что A2 = C2, следовательно, В2 = D2 = 4. 
2;4;img/z5/2to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке C2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=А1+2;=С1+В1,=D1−1,=С1+1;    Из диаграммы видно, что значения в ячейках попарно равны, A2 = D2, следовательно, B2 = C2 = 4. 
3;2;img/z5/3to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке А2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=D1-C1;=D1*2,=В1-А1,=В1/С1;    Из диаграммы видно, что значения в трёх ячейках равны. Следовательно, A2 = C2 = 3. 
4;1;img/z5/4to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке B2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=D1−1;=В1+1,=C1*D1,=В1/С1;    Из диаграммы видно, что значения в двух ячейках равны и эти значения меньше двух других, следовательно, B2 = A2 = 4. 
5;3;img/z5/5to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке А2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=В1/А1;=D1-1,=С1+В1,=А1-1;    Из диаграммы видно, что значения в ячейках попарно равны, B2 = D2, следовательно, A2 = C2 = 2. 
6;4;img/z5/6to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке D2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=С1/3;=А1-1,=С1+В1,=С 1+1;    Из диаграммы видно, что значения в ячейках попарно равны, B2 = C2, следовательно, A2 = D2 = 2. 
7;4;img/z5/7to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке C2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=С1-А1;=С1+В1,=А1-1,=С1+1;    Из диаграммы видно, что значения в двух ячейках равны, A2 ≠ D2, следовательно, B2 = C2 = 4. 
8;2;img/z5/8to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке С2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=В1-1;=В1-А1,=С1+В1,=D1*2;    Из диаграммы видно, что значения в трёх ячейках равны, следовательно, C2 = 3. 
9;3;img/z5/9to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке C2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=D1+A1;=D1-A1,=В1+1,=C1*D1;    Из диаграммы видно, что значения в двух ячейках равны, а сумма этих двух ячеек равна значению в третьей ячейке. Поскольку, A2 = B2 = 4, следовательно, C2 = 8. 
10;1;img/z5/10to_in_one.png;Дан фрагмент электронной таблицы;Какая из формул, приведённых ниже, может быть записана в ячейке С2, чтобы построенная после выполнения вычислений диаграмма по значениям диапазона ячеек A2:D2 соответствовала рисунку?;=С1-В1;=А1-1,=D1-1,=С 1+1;    Из диаграммы видно, что значения в ячейках попарно равны, B2 = D2, следовательно, A2 = C2 = 2. 
